occurrence_index,section,flag_heading,flag_name_cli,restart_needed_badge,master_tserver_match_badge,other_badges_or_notes,default_documented,required_documented,description_excerpt,source_path
1,YSQL flags,--master_ysql_operation_lease_ttl_ms,--master_ysql_operation_lease_ttl_ms,no,no,,`5 * 60 * 1000` (5 minutes),no,Default: '5 * 60 * 1000' (5 minutes) Specifies base YSQL lease Time-To-Live (TTL). The YB-Master leader uses this value to determine the validity of a YB-TServer's YSQL lease. Refer to YSQL lease mechanism for more details.,docs/content/stable/reference/configuration/yb-master.md
1,YSQL flags,--ysql_operation_lease_ttl_client_buffer_ms,--ysql_operation_lease_ttl_client_buffer_ms,no,no,,2000 (2 seconds),no,Default: 2000 (2 seconds) Specifies a client-side buffer for the YSQL operation lease TTL. Refer to YSQL lease mechanism for more details.,docs/content/stable/reference/configuration/yb-master.md
1,Logging flags,--colorlogtostderr,--colorlogtostderr,no,no,,false,no,Default: 'false' Color messages logged to 'stderr' (if supported by terminal).,docs/content/stable/reference/configuration/yb-master.md
1,Logging flags,--logbuflevel,--logbuflevel,no,no,,1,no,Buffer log messages logged at this level (or lower). Valid values: '-1' (don't buffer); '0' (INFO); '1' (WARN); '2' (ERROR); '3' (FATAL) Default: '1',docs/content/stable/reference/configuration/yb-master.md
1,Logging flags,--logbufsecs,--logbufsecs,no,no,,30,no,Buffer log messages for at most this many seconds. Default: '30',docs/content/stable/reference/configuration/yb-master.md
1,Logging flags,--logtostderr,--logtostderr,no,no,,false,no,Write log messages to 'stderr' instead of 'logfiles'. Default: 'false',docs/content/stable/reference/configuration/yb-master.md
1,Logging flags,--log_dir,--log_dir,yes,no,,Same as [`--fs_data_dirs`](#fs-data-dirs),no,Default: Same as '--fs_data_dirs' The directory to write YB-Master log files.,docs/content/stable/reference/configuration/yb-master.md
1,Logging flags,--log_link,--log_link,no,no,,"""""",no,"Put additional links to the log files in this directory. Default: '""""'",docs/content/stable/reference/configuration/yb-master.md
1,Logging flags,--log_prefix,--log_prefix,no,no,,true,no,Prepend the log prefix to each log line. Default:  'true',docs/content/stable/reference/configuration/yb-master.md
1,Logging flags,--max_log_size,--max_log_size,no,no,,`1800` (1.8 GB),no,"The maximum log size, in megabytes (MB). A value of '0' will be silently overridden to '1'. Default: '1800' (1.8 GB)",docs/content/stable/reference/configuration/yb-master.md
1,Logging flags,--minloglevel,--minloglevel,no,no,,`0` (INFO),no,"The minimum level to log messages. Values are: '0' (INFO), '1' (WARN), '2' (ERROR), '3' (FATAL). Default: '0' (INFO)",docs/content/stable/reference/configuration/yb-master.md
1,Logging flags,--stderrthreshold,--stderrthreshold,no,no,,3,no,"Log messages at, or above, this level are copied to 'stderr' in addition to log files. Default: '3'",docs/content/stable/reference/configuration/yb-master.md
1,Logging flags,--callhome_enabled,--callhome_enabled,no,no,,true,no,Disable callhome diagnostics. Default: 'true',docs/content/stable/reference/configuration/yb-master.md
1,Memory division flags,--use_memory_defaults_optimized_for_ysql,--use_memory_defaults_optimized_for_ysql,yes,no,,"`false`. When creating a new universe using yugabyted or YugabyteDB Anywhere, the flag is set to `true`.",no,"Default: 'false'. When creating a new universe using yugabyted or YugabyteDB Anywhere, the flag is set to 'true'. If true, the defaults for the memory division settings take into account the amount of RAM and cores available and are optimized for using YSQL. If false, the defaults will be the old defaults, which are more suitable for YCQL but do not take into account the amount of RAM and cores available. For information on how memory is divided among processes when this flag is set, refer to Memory division defaults. Note that in general these flags will have different values for TServer and Master processes.",docs/content/stable/reference/configuration/yb-master.md
1,Memory division flags,--memory_limit_hard_bytes,--memory_limit_hard_bytes,yes,no,,0,no,"Default: '0' Maximum amount of memory this process should use in bytes, that is, its hard memory limit.  A value of '0' specifies to instead use a percentage of the total system memory; see --default_memory_limit_to_ram_ratio for the percentage used.  A value of '-1' disables all memory limiting. For Kubernetes deployments, this flag is automatically set from the Kubernetes pod memory limits specified in the Helm chart configuration. See Memory limits for Kubernetes deployments for details.",docs/content/stable/reference/configuration/yb-master.md
1,Memory division flags,--default_memory_limit_to_ram_ratio,--default_memory_limit_to_ram_ratio,yes,no,,`-1000` (use the built-in default ratio; commonly `0.10` when [--use_memory_defaults_optimized_for_ysql](#use-memory-defaults-optimized-for-ysql) is false).,no,"Default: '-1000' (use the built-in default ratio; commonly '0.10' when --use_memory_defaults_optimized_for_ysql is false). The percentage of available RAM to use for this process if --memory_limit_hard_bytes is '0'. The special value '-1000' selects that built-in default. Available RAM excludes memory reserved by the kernel. This flag does not apply to Kubernetes universes. Memory limits are controlled via Kubernetes resource specifications in the Helm chart, and '--memory_limit_hard_bytes' is automatically set from those limits. See Memory limits for Kubernetes deployments for details. These settings control the division of memory available to the Master process.",docs/content/stable/reference/configuration/yb-master.md
1,Memory division flags,--db_block_cache_size_bytes,--db_block_cache_size_bytes,no,no,,-1,no,Size of the shared RocksDB block cache (in bytes).  A value of '-1' specifies to instead use a percentage of this processes' hard memory limit; see --db_block_cache_size_percentage for the percentage used.  A value of '-2' disables the block cache. Default: '-1',docs/content/stable/reference/configuration/yb-master.md
1,Memory division flags,--db_block_cache_size_percentage,--db_block_cache_size_percentage,no,no,,`-1000` (use the built-in default percentage; commonly `25` when [--use_memory_defaults_optimized_for_ysql](#use-memory-defaults-optimized-for-ysql) is false).,no,Percentage of the process' hard memory limit to use for the shared RocksDB block cache if '--db_block_cache_size_bytes' is '-1'. The special value '-1000' means to use the built-in default for this flag. The special value '-3' means to use an older default that does not take the amount of RAM into account. Default: '-1000' (use the built-in default percentage; commonly '25' when --use_memory_defaults_optimized_for_ysql is false).,docs/content/stable/reference/configuration/yb-master.md
1,Memory division flags,--tablet_overhead_size_percentage,--tablet_overhead_size_percentage,no,no,,`-1000` (use the built-in recommended value; commonly `0` when [--use_memory_defaults_optimized_for_ysql](#use-memory-defaults-optimized-for-ysql) is false).,no,Percentage of the process' hard memory limit to use for tablet-related overheads. A value of '0' means no limit.  Must be between '0' and '100' inclusive. Exception: '-1000' specifies to instead use the default value for this flag. Each tablet replica generally requires 700 MiB of this memory. Default: '-1000' (use the built-in recommended value; commonly '0' when --use_memory_defaults_optimized_for_ysql is false).,docs/content/stable/reference/configuration/yb-master.md
1,Raft flags,--follower_unavailable_considered_failed_sec,--follower_unavailable_considered_failed_sec,no,no,,`7200` (2 hours),no,"Default: '7200' (2 hours) The duration, in seconds, after which a follower is considered to be failed because the leader has not received a heartbeat. The '--follower_unavailable_considered_failed_sec' value should match the value for '--log_min_seconds_to_retain'.",docs/content/stable/reference/configuration/yb-master.md
1,Raft flags,--evict_failed_followers,--evict_failed_followers,yes,no,,false,no,Default: 'false' Failed followers will be evicted from the Raft group and the data will be re-replicated. Note that it is not recommended to set the flag to true for Masters as you cannot automatically recover a failed Master once it is evicted.,docs/content/stable/reference/configuration/yb-master.md
1,Raft flags,--leader_failure_max_missed_heartbeat_periods,--leader_failure_max_missed_heartbeat_periods,yes,no,,6,no,"Default: '6' The maximum heartbeat periods that the leader can fail to heartbeat in before the leader is considered to be failed. The total failure timeout, in milliseconds, is '--raft_heartbeat_interval_ms' multiplied by '--leader_failure_max_missed_heartbeat_periods'. For read replica clusters, set the value to '10' in all yb-tserver and yb-master configurations.  Because the data is globally replicated, RPC latencies are higher. Use this flag to increase the failure detection interval in such a higher RPC latency deployment.",docs/content/stable/reference/configuration/yb-master.md
1,Raft flags,--leader_lease_duration_ms,--leader_lease_duration_ms,no,no,,2000,no,"The leader lease duration, in milliseconds. A leader keeps establishing a new lease or extending the existing one with every consensus update. A new server is not allowed to serve as a leader (that is, serve up-to-date read requests or acknowledge write requests) until a lease of this duration has definitely expired on the old leader's side, or the old leader has explicitly acknowledged the new leader's lease. This lease allows the leader to safely serve reads for the duration of its lease, even during a network partition. For more information, refer to Leader leases. Leader lease duration should be longer than the heartbeat interval, and less than the multiple of '--leader_failure_max_missed_heartbeat_periods' multiplied by '--raft_heartbeat_interval_ms'.",docs/content/stable/reference/configuration/yb-master.md
1,Raft flags,--raft_heartbeat_interval_ms,--raft_heartbeat_interval_ms,yes,no,,500,no,"Default: '500' The heartbeat interval, in milliseconds, for Raft replication. The leader produces heartbeats to followers at this interval. The followers expect a heartbeat at this interval and consider a leader to have failed if it misses several in a row. Ensure that values used for the write ahead log (WAL) in yb-master configurations match the values in yb-tserver configurations.",docs/content/stable/reference/configuration/yb-master.md
2,Raft flags,--fs_wal_dirs,--fs_wal_dirs,yes,yes,,The same as `--fs_data_dirs`,no,"Default: The same as '--fs_data_dirs' The directory where the yb-master retains WAL files. May be the same as one of the directories listed in '--fs_data_dirs', but not a subdirectory of a data directory.",docs/content/stable/reference/configuration/yb-master.md
1,Raft flags,--durable_wal_write,--durable_wal_write,yes,no,,true,no,"Default: 'true' If set to 'false', the writes to the WAL are synced to disk every 'interval_durable_wal_write_ms' milliseconds (ms) or every 'bytes_durable_wal_write_mb' megabyte (MB), whichever comes first. Using 'false' is recommended only for multi-AZ or multi-region deployments where the availability zones (AZs) or regions are independent failure domains and there is not a risk of correlated power loss. For single-AZ deployments, keep this flag 'true'.",docs/content/stable/reference/configuration/yb-master.md
1,Raft flags,--interval_durable_wal_write_ms,--interval_durable_wal_write_ms,yes,no,,1000,no,"Default: '1000' When '--durable_wal_write' is false, writes to the WAL are synced to disk every '--interval_durable_wal_write_ms' or '--bytes_durable_wal_write_mb', whichever comes first.",docs/content/stable/reference/configuration/yb-master.md
1,Raft flags,--bytes_durable_wal_write_mb,--bytes_durable_wal_write_mb,yes,no,,1,no,"Default: '1' When '--durable_wal_write' is 'false', writes to the WAL are synced to disk every '--bytes_durable_wal_write_mb' or '--interval_durable_wal_write_ms', whichever comes first.",docs/content/stable/reference/configuration/yb-master.md
1,Raft flags,--log_min_seconds_to_retain,--log_min_seconds_to_retain,no,yes,,`7200` (2 hours),no,"Default: '7200' (2 hours) The minimum duration, in seconds, to retain WAL segments, regardless of durability requirements. WAL segments can be retained for a longer amount of time, if they are necessary for correct restart. This value should be set long enough such that a tablet server which has temporarily failed can be restarted in the given time period. The '--log_min_seconds_to_retain' value should match the value for '--follower_unavailable_considered_failed_sec'.",docs/content/stable/reference/configuration/yb-master.md
1,Raft flags,--log_min_segments_to_retain,--log_min_segments_to_retain,no,yes,,2,no,"Default: '2' The minimum number of WAL segments (files) to retain, regardless of durability requirements. The value must be at least '1'.",docs/content/stable/reference/configuration/yb-master.md
1,Raft flags,--log_segment_size_mb,--log_segment_size_mb,yes,yes,,64,no,"Default: '64' The size, in megabytes (MB), of a WAL segment (file). When the WAL segment reaches the specified size, then a log rollover occurs and a new WAL segment file is created.",docs/content/stable/reference/configuration/yb-master.md
1,Raft flags,--reuse_unclosed_segment_threshold_bytes,--reuse_unclosed_segment_threshold_bytes,no,yes,,"The default value in [v2.18.1](/stable/releases/ybdb-releases/end-of-life/v2.18/#v2.18.1.0) is `-1` - feature is disabled by default. The default value starting from {{<release ""2.19.1"">}} is `524288` (0.5 MB) - feature is enabled by default.",no,"Default: The default value in v2.18.1 is '-1' - feature is disabled by default. The default value starting from {{<release ""2.19.1"">}} is '524288' (0.5 MB) - feature is enabled by default. When the server restarts from a previous crash, if the tablet's last WAL file size is less than or equal to this threshold value, the last WAL file will be reused. Otherwise, WAL will allocate a new file at bootstrap. To disable WAL reuse, set the value to '-1'.",docs/content/stable/reference/configuration/yb-master.md
1,Cluster balancing flags,--enable_load_balancing,--enable_load_balancing,no,no,,true,no,"Enables or disables the cluster balancing algorithm, to move tablets around. Default: 'true'",docs/content/stable/reference/configuration/yb-master.md
1,Cluster balancing flags,--leader_balance_threshold,--leader_balance_threshold,no,no,,0,no,"Specifies the number of leaders per tablet server to balance below. If this is configured to '0' (the default), the leaders will be balanced optimally at extra cost. Default: '0'",docs/content/stable/reference/configuration/yb-master.md
1,Cluster balancing flags,--leader_balance_unresponsive_timeout_ms,--leader_balance_unresponsive_timeout_ms,no,no,,`3000` (3 seconds),no,"Specifies the period of time, in milliseconds, that a YB-Master can go without receiving a heartbeat from a YB-TServer before considering it unresponsive. Unresponsive servers are excluded from leader balancing. Default: '3000' (3 seconds)",docs/content/stable/reference/configuration/yb-master.md
1,Cluster balancing flags,--load_balancer_max_concurrent_adds,--load_balancer_max_concurrent_adds,no,no,,25,no,Specifies the maximum number of tablet peer replicas to add in a cluster balancer operations. Default: '25',docs/content/stable/reference/configuration/yb-master.md
1,Cluster balancing flags,--load_balancer_max_concurrent_moves,--load_balancer_max_concurrent_moves,no,no,,100,no,Specifies the maximum number of tablet leaders on tablet servers (across the cluster) to move in any one run of the cluster balancer. Default: '100',docs/content/stable/reference/configuration/yb-master.md
1,Cluster balancing flags,--load_balancer_max_concurrent_moves_per_table,--load_balancer_max_concurrent_moves_per_table,no,no,,-1,no,"Specifies the maximum number of tablet leaders per table to move in any one run of the cluster balancer. The maximum number of tablet leader moves across the cluster is still limited by the flag 'load_balancer_max_concurrent_moves'. This flag is meant to prevent a single table from using all of the leader moves quota and starving other tables. If set to -1, the number of leader moves per table is set to the global number of leader moves ('load_balancer_max_concurrent_moves'). Default: '-1'",docs/content/stable/reference/configuration/yb-master.md
1,Cluster balancing flags,--load_balancer_max_concurrent_removals,--load_balancer_max_concurrent_removals,no,no,,50,no,Specifies the maximum number of over-replicated tablet peer removals to do in any one run of the cluster balancer. A value less than 0 means no limit. Default: '50',docs/content/stable/reference/configuration/yb-master.md
1,Cluster balancing flags,--load_balancer_max_concurrent_tablet_remote_bootstraps,--load_balancer_max_concurrent_tablet_remote_bootstraps,no,no,,-1,no,Specifies the maximum number of tablets being remote bootstrapped across the cluster. Default: '-1',docs/content/stable/reference/configuration/yb-master.md
1,Cluster balancing flags,--load_balancer_max_concurrent_tablet_remote_bootstraps_per_table,--load_balancer_max_concurrent_tablet_remote_bootstraps_per_table,no,no,,-1,no,Maximum number of tablets being remote bootstrapped for any table. The maximum number of remote bootstraps across the cluster is still limited by the flag 'load_balancer_max_concurrent_tablet_remote_bootstraps'. This flag is meant to prevent a single table use all the available remote bootstrap sessions and starving other tables. Default: '-1',docs/content/stable/reference/configuration/yb-master.md
1,Cluster balancing flags,--load_balancer_max_over_replicated_tablets,--load_balancer_max_over_replicated_tablets,no,no,,50,no,Specifies the maximum number of running tablet replicas per table that are allowed to be over the configured replication factor. This controls the amount of space amplification in the cluster when tablet removal is slow. A value less than 0 means no limit. Default: '50',docs/content/stable/reference/configuration/yb-master.md
1,Cluster balancing flags,--load_balancer_num_idle_runs,--load_balancer_num_idle_runs,no,no,,5,no,Specifies the number of idle runs of load balancer to deem it idle. Default: '5',docs/content/stable/reference/configuration/yb-master.md
1,Cluster balancing flags,--load_balancer_skip_leader_as_remove_victim,--load_balancer_skip_leader_as_remove_victim,no,no,,false,no,Should the LB skip a leader as a possible remove candidate. Default: 'false',docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,--max_clock_skew_usec,--max_clock_skew_usec,yes,no,,"`500000` (500,000 µs = 500ms)",no,"Default: '500000' (500,000 µs = 500ms) The expected maximum clock skew, in microseconds (µs), between any two servers in your deployment.",docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,--replication_factor,--replication_factor,no,no,,3,no,"The number of replicas, or copies of data, to store for each tablet in the universe. Default: '3'",docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,--yb_num_shards_per_tserver,--yb_num_shards_per_tserver,no,yes,,"`-1`, where the number of shards is determined at runtime, as follows:",no,"Default: '-1', where the number of shards is determined at runtime, as follows: The number of shards (tablets) per YB-TServer for each YCQL table when a user table is created. - If enable_automatic_tablet_splitting is 'true' - The default value is considered as '1'. - For servers with 4 CPU cores or less, the number of tablets for each table doesn't depend on the number of YB-TServers. Instead, for 2 CPU cores or less, 1 tablet per cluster is created; for 4 CPU cores or less, 2 tablets per cluster are created. - If 'enable_automatic_tablet_splitting' is 'false' - For servers with up to two CPU cores, the default value is considered as '4'. - For three or more CPU cores, the default value is considered as '8'. Local cluster installations created using yb-ctl and yb-docker-ctl use a default value of '2' for this flag.",docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,--ysql_num_shards_per_tserver,--ysql_num_shards_per_tserver,no,yes,,"`-1`, where the number of shards is determined at runtime, as follows:",no,"Default: '-1', where the number of shards is determined at runtime, as follows: The number of shards (tablets) per YB-TServer for each YSQL table when a user table is created. - If enable_automatic_tablet_splitting is 'true' - The default value is considered as '1'. - For servers with 4 CPU cores or less, the number of tablets for each table doesn't depend on the number of YB-TServers. Instead, for 2 CPU cores or less, 1 tablet per cluster is created; for 4 CPU cores or less, 2 tablets per cluster are created. - If 'enable_automatic_tablet_splitting' is 'false' - For servers with up to two CPU cores, the default value is considered as '2'. - For servers with three or four CPU cores, the default value is considered as '4'. - Beyond four cores, the default value is considered as '8'.",docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,--ysql_colocate_database_by_default,--ysql_colocate_database_by_default,yes,no,,false,no,"Default: 'false' When enabled, all databases created in the cluster are colocated by default. If you enable the flag after creating a cluster, you need to restart the YB-Master and YB-TServer services. For more details, see clusters in colocated tables.",docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,enforce_tablet_replica_limits,enforce_tablet_replica_limits,no,no,,`true`. No limits are enforced if this is false.,no,"Enables/disables blocking of requests which would bring the total number of tablets in the system over a limit. For more information, see Tablet limits. Default: 'true'. No limits are enforced if this is false.",docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,split_respects_tablet_replica_limits,split_respects_tablet_replica_limits,no,no,,true,no,"If set, tablets will not be split if the total number of tablet replicas in the cluster after the split would exceed the limit after the split. Default: 'true'",docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,tablet_replicas_per_core_limit,tablet_replicas_per_core_limit,no,no,,`0` for no limit.,no,The number of tablet replicas that each core on a YB-TServer can support. Default: '0' for no limit.,docs/content/stable/reference/configuration/yb-master.md
1,Sharding flags,tablet_replicas_per_gib_limit,tablet_replicas_per_gib_limit,no,no,,1024 * (7/10) (corresponding to an overhead of roughly 700 KiB per tablet),no,The number of tablet replicas that each GiB reserved by YB-TServers for tablet overheads can support. Default: 1024 * (7/10) (corresponding to an overhead of roughly 700 KiB per tablet),docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--max_create_tablets_per_ts,--max_create_tablets_per_ts,no,no,,50,no,The maximum number of tablets per tablet server that can be specified when creating a table. This also limits the number of tablets that can be created by tablet splitting. Default: '50',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--enable_automatic_tablet_splitting,--enable_automatic_tablet_splitting,no,yes,,"Auto flag — initial `false`, target `true` (after promotion, behaves as `true`; see [All YB-Master flags](../all-flags-yb-master/) for full metadata)",no,"Default: Auto flag — initial 'false', target 'true' (after promotion, behaves as 'true'; see All YB-Master flags for full metadata) Enables YugabyteDB to automatically split tablets, based on the specified tablet threshold sizes configured below. This value must match on all yb-master and yb-tserver configurations of a YugabyteDB cluster.",docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--tablet_split_low_phase_shard_count_per_node,--tablet_split_low_phase_shard_count_per_node,no,no,,1,no,The threshold number of shards (per cluster node) in a table below which automatic tablet splitting will use '--tablet_split_low_phase_size_threshold_bytes' to determine which tablets to split. Default: '1',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--tablet_split_low_phase_size_threshold_bytes,--tablet_split_low_phase_size_threshold_bytes,no,no,,128 MiB,no,"The size threshold used to determine if a tablet should be split when the tablet's table is in the ""low"" phase of automatic tablet splitting. See '--tablet_split_low_phase_shard_count_per_node'. Default: '128 MiB'",docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--tablet_split_high_phase_shard_count_per_node,--tablet_split_high_phase_shard_count_per_node,no,no,,24,no,The threshold number of shards (per cluster node) in a table below which automatic tablet splitting will use '--tablet_split_high_phase_size_threshold_bytes' to determine which tablets to split. Default: '24',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--tablet_split_high_phase_size_threshold_bytes,--tablet_split_high_phase_size_threshold_bytes,no,no,,10 GiB,no,"The size threshold used to determine if a tablet should be split when the tablet's table is in the ""high"" phase of automatic tablet splitting. See '--tablet_split_high_phase_shard_count_per_node'. Default: '10 GiB'",docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--tablet_force_split_threshold_bytes,--tablet_force_split_threshold_bytes,no,no,,100 GiB,no,"The size threshold used to determine if a tablet should be split even if the table's number of shards puts it past the ""high phase"". Default: '100 GiB'",docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--tablet_split_limit_per_table,--tablet_split_limit_per_table,no,no,,0,no,The maximum number of tablets per table for tablet splitting. Limitation is disabled if this value is set to 0. Default: '0',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--index_backfill_tablet_split_completion_timeout_sec,--index_backfill_tablet_split_completion_timeout_sec,no,no,,30,no,Total time to wait for tablet splitting to complete on a table on which a backfill is running before aborting the backfill and marking it as failed. Default: '30',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--index_backfill_tablet_split_completion_poll_freq_ms,--index_backfill_tablet_split_completion_poll_freq_ms,no,no,,2000,no,Delay before retrying to see if tablet splitting has completed on the table on which a backfill is running. Default: '2000',docs/content/stable/reference/configuration/yb-master.md
1,Tablet splitting flags,--process_split_tablet_candidates_interval_msec,--process_split_tablet_candidates_interval_msec,no,no,,0,no,"The minimum time between automatic splitting attempts. The actual splitting time between runs is also affected by 'catalog_manager_bg_task_wait_ms', which controls how long the background tasks thread sleeps at the end of each loop. Default: '0'",docs/content/stable/reference/configuration/yb-master.md
